municipio,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10
Valverde de Alcalá,Tielmes,Ribatejada,Valdilecha,Villarejo de Salvanés,Anchuelo,Valdepiélagos,Villanueva de Perales,Meco,Valdeavero,El Vellón
Velilla de San Antonio,Paracuellos de Jarama,Villalbilla,San Fernando de Henares,Mejorada del Campo,Navalcarnero,Torrejón de Velasco,Villaviciosa de Odón,Ciempozuelos,Morata de Tajuña,Torres de la Alameda
El Vellón,Valdepiélagos,Villanueva de Perales,Villarejo de Salvanés,Anchuelo,Fresno de Torote,Sevilla la Nueva,Valdeavero,Tielmes,Manzanares el Real,Talamanca de Jarama
Venturada,Chapinería,Molinos (Los),Cercedilla,Navalagamella,Cabanillas de la Sierra,Miraflores de la Sierra,Guadalix de la Sierra,Belmonte de Tajo,Navalafuente,Colmenar del Arroyo
Villa del Prado,El Berrueco,Estremera,Canencia,Lozoyuela-Navas-Sieteiglesias,Lozoya,Rascafría,Alameda del Valle,Pelayos de la Presa,Patones,San Martín de Valdeiglesias
Villaconejos,Cabanillas de la Sierra,Navacerrada,El Boalo,Miraflores de la Sierra,Molinos (Los),Braojos,Venturada,Villavieja del Lozoya,Bustarviejo,Navalagamella
Villalbilla,Velilla de San Antonio,Navalcarnero,Mejorada del Campo,Paracuellos de Jarama,San Fernando de Henares,Ciempozuelos,Morata de Tajuña,Torres de la Alameda,Serranillos del Valle,Torrejón de Velasco
Villamanrique de Tajo,Puentes Viejas,Gargantilla del Lozoya y Pinilla de Buitrago,Cadalso de los Vidrios,La Hiruela,Cenicientos,Berzosa del Lozoya,El Atazar,Puebla de la Sierra,Valdaracete,Brea de Tajo
Villamanta,Pozuelo del Rey,Corpa,Santorcaz,El Escorial,Valdelaguna,Chinchón,Meco,Valdemorillo,Nuevo Baztán,Griñón
Villamantilla,Zarzalejo,San Lorenzo de El Escorial,Carabaña,Ambite,Colmenar de Oreja,Orusco de Tajuña,Olmeda de las Fuentes,Torrelaguna,Aldea del Fresno,Santa María de la Alameda
Villanueva de la Cañada,Serranillos del Valle,Batres,Torres de la Alameda,Morata de Tajuña,Casarrubuelos,Perales de Tajuña,Navalcarnero,Villalbilla,Loeches,Velilla de San Antonio
Villanueva de Perales,Valdepiélagos,El Vellón,Villarejo de Salvanés,Anchuelo,Fresno de Torote,Talamanca de Jarama,Tielmes,Sevilla la Nueva,Villar del Olmo,Valdeavero
Villanueva del Pardillo,Colmenarejo,Galapagar,Ajalvir,Brunete,Collado Mediano,Cobeña,Loeches,Camarma de Esteruelas,Torrejón de la Calzada,Fuente el Saz de Jarama
Villar del Olmo,Valdetorres de Jarama,Talamanca de Jarama,Valdemorillo,El Álamo,Quijorna,Villanueva de Perales,Valdepiélagos,El Escorial,Casarrubuelos,Corpa
Villarejo de Salvanés,Anchuelo,El Vellón,Valdepiélagos,Villanueva de Perales,Tielmes,Valdeavero,Sevilla la Nueva,Fresno de Torote,Valverde de Alcalá,Ribatejada
Villaviciosa de Odón,Torrejón de Velasco,San Martín de la Vega,Mejorada del Campo,San Fernando de Henares,Paracuellos de Jarama,Velilla de San Antonio,Torrejón de la Calzada,Villalbilla,Navalcarnero,Camarma de Esteruelas
Villavieja del Lozoya,Buitrago del Lozoya,El Boalo,Braojos,Robledo de Chavela,Valdemaqueda,Fresnedillas de la Oliva,Villaconejos,Bustarviejo,Rozas de Puerto Real,El Berrueco
Zarzalejo,Villamantilla,Carabaña,San Lorenzo de El Escorial,Ambite,Orusco de Tajuña,Colmenar de Oreja,Olmeda de las Fuentes,Torrelaguna,Aldea del Fresno,Navas del Rey
